SIgn and Symptom,UMLS CUI,Synonym
Lymphopenia,C0024312,"LYMPHOPENIA, lymphopenia, Lymphopenias, Lymphocytopenia, LYMPHOCYTOPENIA, lymphocytopenia, Lymphocytopenias, Lymphocytopenia, NOS, Decreased lymphocytes, decreased lymphocytes, decreased lymphocyte, Disorder characterized by lymphopenia, Decreased blood lymphocyte number, Low lymphocyte number, Lymphocytopenia (disorder), Absolute lymphocyte count decrease, lymphocytopenia (diagnosis), lymphopenia (diagnosis)"
Nasal congestion (finding),C0027424,"Congestion of nose, NOSE CONGESTION, nose congestion, Nose congestion, Nasal congestion, CONGESTION NASAL, Congestion nasal, Congestion;nasal, NASAL CONGESTION, Nasal Congestion, nasal congestion, Congested nose, congested nose, Stuffed-up nose, Nasal stuffiness, Nasal Stuffiness, NASAL STUFFINESS, nasal stuffiness, nasal passage blockage (stuffiness) (symptom), blocked nose, Blocked nose, blocking nose, nose block, Stuffy nose, stuffy nose, nasal passage blockage, nasal passage blockage (stuffiness)"
Nausea,C0027497,"NAUSEA, nausea, Nausea NOS, nauseas, Feeling queasy, FEELING QUEASY, Nauseated, nauseated, nauseating, Nauseous, nauseous, Feeling bilious, [D]Nausea, Feeling sick, sick feeling, feeling sick, feel sick, Queasy, QUEASY, queasy, C/O - nausea, nausea (symptom), Nausea symptoms, nausea symptoms, nausea symptom, symptoms nausea, symptom nausea, Observation of nausea, [D]Nausea (context-dependent category), Finding of nausea (finding), Nausea (finding), Finding of nausea, Nausea NOS (finding), [D]Nausea (situation), Nausea (disorder), rndx nausea (diagnosis), rndx nausea"
Nausea and vomiting,C0027498,"vomiting and nausea, Vomiting and Nausea, NAUSEA AND VOMITING, nausea and vomiting, Nausea and Vomiting, Nausea and vomiting NOS, Nausea with vomiting, NAUSEA VOMITING, Nausea/vomiting, nausea/vomiting, nausea with vomiting, [D]Nausea and vomiting, [D]Nausea and vomiting NOS, N+V - Nausea and vomiting, N&V - Nausea and vomiting, Nausea and vomiting symptoms, nausea with vomiting (symptom), [D]Nausea and vomiting NOS (context-dependent category), [D]Nausea and vomiting (context-dependent category), Nausea and vomiting (disorder), [D]Nausea and vomiting (situation), [D]Nausea and vomiting NOS (situation), Nausea with vomiting, unspecified"
Pneumonia,C0032285,"PNEUMONIA, pneumonia, Pneumonias, Pneumonia, NOS, Pneumonia NOS, Pneumoniae, Pneumonitis, NOS, Pneumonitis, Pneumonia, unspecified, unspecified pneumonia, Lung inflamed, pneum, PNEUM, Lung inflammation, lung inflammation, inflammation lungs, Pulmonary inflammation, pulmonary inflammation, Pulmonitis, Pneumonia (disorder) [Ambiguous], Pneumonia (disorder), Pneumonia NOS (disorder), pneumonia (diagnosis)"
Rales,C0034642,"RALES, rales, Rale, Rales, NOS, rale, Crackles, CRACKLES, crackles, Crackle, crackle, chest crepitation, Crepitation;chest, CHEST CREPITATION, Crepitations, crepitations, Crepitation, crepitation, Crepitations NOS, Crepitant rales, crepitant rale, Respiratory crackles, Respiratory crepitations, Respiratory crepitation, [D]Rales, PULMONARY RALES/CRACKLES/CREPITATIONS, Pulmonary Rales, Lung crepitation, Crackles lung, lung crackles, Crackles in lungs, [D]Rales (context-dependent category), Respiratory crackles (finding), Crepitation (finding), Rales (finding), [D]Rales (situation), rales or crackles (physical finding), rales or crackles"
"Respiratory Distress Syndrome, Adult",C0035222,"SYNDROME ADULT RESPIRATORY DISTRESS, SYNDROME RESPIRATORY DISTRESS ADULT, ADULT RESPIRATORY DISTRESS SYNDROME, Adult respiratory distress syndrome, adult respiratory distress syndrome, Syndrome adult respiratory distress, Syndrome respiratory distress adult, distress syndrome; respiratory, adult, distress; respiratory syndrome, adult, distress; respiratory, syndrome, adult, syndrome; respiratory distress, adult, RESPIRATORY DISTRESS SYNDROME ADULT, RESPIRATORY DISTRESS SYNDROME, ADULT, Respiratory distress syndrome, Adult, Respiratory distress syndrome, adult, Respiratory distress syndrome adult, respiratory distress; syndrome, adult, respiratory; distress, syndrome, adult, DISTRESS RESPIRATORY SYNDROME ADULTS, Adult respiratory distress syndrome, NOS, Distress respiratory syndrome adults, Adult Respiratory Distress Syndrome, Congestive atelectasis, Respiratory distress syndrome, distress syndrome; respiratory, syndrome; respiratory distress, RESPIRATORY DISTRESS SYNDROME, respiratory distress; syndrome, respiratory; distress syndrome, Shock Lung, lung; shock, SHOCK LUNG, Shock lung, shock lung, shock; lung, Lung, Shock, shock-lung; syndrome, Shock-lung syndrome, syndrome; shock-lung, wet lung, ARDS, Human, Human ARDS, Adult respiratory distress syndr, ADULT RESPIRATORY DISTRESS SYNDR, Adult respiratory stress syndrome, ADULT RESPIRATORY STRESS SYNDROME, ARDS, ards, wet lung syndrome, WET LUNG SYNDROME, DaNang lung, danang lung, Vietnam lung, Acquired resp distress syndrom, Acquired respiratory distress syndrome, Respiratory Distress Syndrome, Acute, Acute respiratory distress syndrome, RESPIRATORY DISTRESS SYNDROME ACUTE, Acute Respiratory Distress Syndrome, ARDS - Adult resp distr syndr, ARDS - Adult respiratory distress syndrome, Adult Respiratory Distress Syndrome, ARDS, adult respiratory distress syndrome (ARDS), Adult hyaline membrane disease, hyaline; disease, membrane, adult, adult hyaline membrane disease, Adult respiratory distr syndr, Pulm capillary leak syndrome, Pulmonary capillary leak syndrome, Wet-lung syndrome, adult, Syndrome adult respiratory, adult respiratory syndrome, SYNDROME ADULT RESPIRATORY, Respiratory distress syndrome (finding), A.R.D.S., a r d s, a.r.d.s., Adult RDS, adult rds, Acute respiratory distress syndrome (disorder), RDS, ARDSs, Human, Adult respiratory distress syndrome (disorder), Resp. distress synd. - adult, Respirat distress synd-adult, adult respiratory distress syndrome (ARDS) (diagnosis), ARDs - Acute respiratory distress syndrome"
Seizures,C0036572,"seizures, Seizure, SEIZURE, Seizure, NOS, Seizure NOS, seizure, Convulsion, CONVULSION, convulsion, Convulsions, CONVULSIONS, Convulsion, NOS, CONVULSION (NOS), Convulsion NOS, convulsions nos, Convulsion (NOS), Convulsions NOS, convulsions, Fit, fit, FITS NOS, Fit, NOS, Fitting, fit's, fitted, Fits NOS, Fit(s), fits, Convulsion (disorder), [D]Fit, [D]Convulsions, [D]Convulsion NOS, [D]Seizure NOS, seizure d, Fit - convulsion, Fits - convulsions, A70-A72 CONVULSIONS, sz, [D]Convulsions (context-dependent category), [D]Convulsion NOS (context-dependent category), [D]Fit (context-dependent category), convulsions (symptom), Seizure (finding), [D]Convulsions (situation), [D]Convulsion NOS (situation), [D]Fit (situation), seizure (physical finding), Fit - convulsion (finding), Fits - convulsions (disorder)"
Shivering,C0036973,"SHIVERING, shivering, SHIVERS, Shivered, shiver, Shivers, shivers, Shiverings, Shivering or rigors, Shivers (disorder), Shiverer, Equine shivers, Shuddering, Shivering or rigors (finding), Shivering (finding)"
Skin lesion,C0037284,"lesion skin, lesion; skin, SKIN LESION, Skin Lesion, skin lesion, skin; lesion, Skin lesion, NOS, lesions skin, Skin lesion NOS, Skin lesions, skin lesions, skin lesion(s):, skin lesions:, Skin lesion (disorder), disorder lesions skin, disorders lesions skin, skin lesions (physical finding), skin lesions (symptom)"
Skin Ulcer,C0037299,"ULCER SKIN, Ulcer skin, Ulcer;skin, ulcer; skin, SKIN ULCER, skin ulcer, Skin ulcer, skin; ulcer, Skin Ulcers, Ulcers, Skin, Ulcer of skin, NOS, Skin Ulcer(s), skin ulcers, Skin ulcer NOS, Ulcer of skin NOS, Ulcer of skin, Skin ulcers, Ulcer, Skin, Skin ulceration, SKIN ULCERATION, skin ulceration, Skin Ulceration, skin ulcerations, Cutaneous ulcer, cutaneous ulcer, cutaneous ulcers, Cutaneous ulcers, skin sores, sore on skin, Cutaneous ulceration, Open skin sore, skin ulcer (physical finding), Physical findings.skin ulcer, Skin ulcer (disorder)"
Smell Perception,C0037361,"smell perception, Sense of Smell, Sense of smell, sense of smell, Smell Sense, smell sense, Smell, smell, Smell, NOS, Smelling, smelled, smelling, smells, Ability to recognise smell, Ability to recognize smell, olfactory, Olfactory, Olfactory Perception, olfactory sense, Olfaction, olfaction, Olfaction, NOS, Sense of smell, function (observable entity), Sense of smell, function, Sense of smell (function), scent perception, sensory perception of smell"
Sputum,C0038056,"sputum, SPUTUM, Sputums, Expectoration, Expectoration, NOS, Portion of sputum, Sputum (substance)"
Tremor,C0040822,"TREMOR, tremor, Tremors, TREMORS, Tremor, NOS, Tremor NOS, tremors, The shakes, the shakes, SHAKING, Shakes, Shaking, shakes, shake, shaking, quivering, quivers, quiver, trembles, Trembled, Trembling, Has a tremor, [D]Tremor NOS, d tremors, Tremor [D], [D]Tremor, Tremor, unspecified, Shaking all over, tremor (diagnosis), Involuntary shaking, A46-A47 TREMORS, motor exam involuntary movements tremor trembles, trembles (physical finding), (Has a tremor) or (tremor symptom) or (shaking), [D]Tremor NOS (context-dependent category), [D]Tremor (context-dependent category), Tremor [D] (finding), Tremor (finding), Tremor symptom, Shaking/Tremors, Tremors/Shaking, [D]Tremor (situation), [D]Tremor NOS (situation), Tremor [D] (situation), tremors as symptom, involuntary shaking or trembling movements, involuntary shaking or trembling movements (tremor), tremor (physical finding), involuntary shaking or trembling movements (symptom), (Has a tremor) or (tremor symptom) or (shaking) (finding)"
Ulcer,C0041582,"ULCER, ulcer, Ulcers, ULCERS, Ulcer, NOS, ulcers, Ulcer NOS, Ulcerative lesion, Ulcerative lesion, NOS, lesions ulcerative, Ulcerated, ulcerated, Ulcerating, ulcerates, ulcerate, ulcerating, Ulcerative, ulcerative, ulceratives, Ulcus, Ulcus, NOS, Ulcer - lesion, ulcer lesion, lesions ulcers, lesions ulcer, 38 ULCERS, Ulceration, ulceration, Ulceration, NOS, ulcerations, Ulcer (morphologic abnormality), Ulcerative (qualifier value), Ulcer (disorder)"
Erythema,C0041834,"ERYTHEMA, erythema, Erythemas, erythemas, ERYTHEMA NOS, Erythema NOS, Unspecified erythematous condition, Erythematous condition, unspecified, Erythematous condition, erythematous condition, Erythematous conditions, Erythematous condition, NOS, Erythematous conditions NOS, Erythema of skin, erythema of skin, SKIN ERYTHEMA, skin erythema, Skin erythema, Injection (erythema), Redness, Erythematous disorder, Skin red, Red skin, SKIN RED, erythematous condition (diagnosis), Cutaneous redness, Dermal erythema, Skin reddened, Redness of skin or mucous membrane, redness of skin, redness skin, skin redness, Skin redness, Erythema (morphologic abnormality), Erythematous condition (disorder), Erythematous conditions NOS (disorder), Erythema (finding), erythema findings, Erythema - observation, Erythematous cond NOS, erythema of skin (physical finding), unusual change in color of skin to red (erythema), unusual change in color of skin to red (erythema) (symptom), Erythematous disorder (disorder), Erythema of skin (finding)"
Upper Respiratory Infections,C0041912,"upper respiratory infections, Upper respiratory infection, Respiratory Infection, Upper, INFECTION UPPER RESPIRATORY, UPPER RESPIRATORY INFECTION, Upper Respiratory Infection, Upper respiratory infection, NOS, Upper respiratory infection NOS, upper respiratory infection, Infection upper respiratory, Infections, Upper Respiratory, Cold, U.R.I., Upper respiratory tract infectious disease, upper resp tract infection, Infection;upper resp tract, UPPER RESP TRACT INFECTION, Upper resp tract infection, Infection of upper resp tract, Upper Respiratory Tract Infections, Upper respiratory tract infections, Infection of the upper respiratory tract, Upper respiratory tract infection, Upper respiratory tract infection NOS, RESPIRATORY TRACT INFECTION UPPER, Upper Respiratory Tract Infection, Infection, Upper Respiratory Tract, Infections, Upper Respiratory Tract, URI, uri, UPPER RESPIRATORY INFECT, Upper respiratory infect.NOS, INFECT UPPER RESPIRATORY, Upper respiratory tract infecn, URTI - Infection of the upper respiratory tract, upper respiratory tract infection (URTI), URTI (upper respiratory tract infection), URTI - Infectn upper resp trct, URTI, Upper respiratory infection (disorder), Upper respiratory infection NOS (disorder), URI - Upper respiratory infection, upper respiratory infection (URI), URI (upper respiratory infection), upper respiratory infection (diagnosis), Infection of the upper respiratory tract (disorder)"
Vomiting,C0042963,"VOMITING, vomiting, Vomiting, NOS, Vomiting NOS, vomited, vomits, vomit, Vomited, VOMIT, Emesis, EMESIS, emesis, Being sick, [D]Emesis, [D]Vomiting, Throwing up, throwing up, throw up, Vomiting (disorder), Vomiting disorder, Vomiting NOS (disorder), Vomiting symptom, vomiting (symptom), Vomiting symptoms, symptoms vomiting, vomiting symptoms, Observation of vomiting, [D]Emesis (context-dependent category), [D]Vomiting (context-dependent category), Vomiting symptoms (disorder), Finding of vomiting (finding), Finding of vomiting, Vomiting (finding), Vomiting NOS (finding), regurgitation; gastric contents, gastric contents; regurgitation, Vomiting symptom (finding), [D]Emesis (situation), [D]Vomiting (situation), vomiting (physical finding), Vomiting disorder (disorder), vomiting was observed, Vomiting, unspecified"
Wheezing,C0043144,"WHEEZING, wheezing, Wheezings, WHEEZES, Wheezing, NOS, Wheeze, wheezes, wheeze, Wheezes, [D]Wheezing, Wheezy, wheezy, [D]Wheezing (context-dependent category), Wheezing (finding), [D]Wheezing (situation), wheezing [as a symptom], reported wheezing (symptom), reported wheezing"
Chills,C0085593,"CHILLS, chills, Chill, chill, Chill(s) NOS, Chilling, chilling, CHILL, Chills NOS, ague, shaking chills, shaking chill, chill shaking, chills shakes, chills shaking, [D]Chill(s) NOS, [D]Chill(s) NOS (context-dependent category), Chill (finding), [D]Chill(s) NOS (situation), chills (symptom), reported chills"
Lassitude,C0086525,"LASSITUDE, lassitude, [D]Lassitude"
Acute bronchitis,C0149514,"BRONCHITIS, ACUTE, BRONCHITIS ACUTE, Bronchitis acute, Bronchitis;acute, Bronchitis - acute, bronchitis; acute, ACUTE BRONCHITIS, acute bronchitis, acute; bronchitis, Acute Bronchitis, Acute bronchitis, NOS, Acute bronchitis NOS, Bronchitis acute NOS, bronchitis, Acute tracheobronchitis, Tracheobronchitis, acute, Tracheobronchitis - acute, acute; tracheobronchitis, acute tracheobronchitis, Acute bronchitis, unspecified, Acute bronchitis (disorder), Acute bronchitis NOS (disorder), Acute chest infections, Acute tracheobronchitis (disorder), acute tracheobronchitis (diagnosis), acute bronchitis (diagnosis)"
Muscle Weakness,C0151786,"WEAKNESS MUSCLE, Weakness muscle, Muscle weakness, MUSCLE WEAKNESS, muscle weakness, muscle; weakness, Muscle Weaknesses, Weaknesses, Muscle, muscle weaknesses, Muscle weakness NOS, Weakness;muscle(s), Weakness, Muscle, Decreased muscle strength, decreased muscle strength, Decrease in muscle strength, Muscular Weakness, MUSCULAR WEAKNESS, muscular weakness, Muscular weakness, Muscular Weaknesses, Weaknesses, Muscular, Weakness, Muscular, Muscle strength reduced, Muscle weakness (finding), muscle weakness (symptom)"
Congestion of nasal sinus,C0152029,"NASAL SINUS CONGESTION, Congestion of nasal sinus, NOS, Nasal sinus congestion, Sinus congestion, Congestion;sinus, SINUS CONGESTION, sinus congestion, Sinus congestion, NOS, Congestion of nasal sinus (disorder), Sinus congestion (finding)"
Joint swelling,C0152031,"swelling joint, Swelling, Joint, JOINT SWELLING, joint swelling, Joint Swelling, SWOLLEN JOINT, SWOLLEN JOINTS, Swollen joint, joints swelling, joints swollen, swell joint, swollen joint, Swelling of Joint, Swollen joints, JOINT SWOLLEN, Swollen;joint(s), swollen joints, Observation of joint swelling, Swelling of joint with or without pain, Finding of joint swelling (finding), Joint swelling (finding), Finding of joint swelling"
Arthralgia of temporomandibular joint,C0155943,"arthralgia of temporomandibular joint, Temporomandibular joint arthralgia, Temporomandibular joint disorders, arthralgia of temporomandibular joint, Temporomandibular joint pain (finding), Temporomandibular joint pain, joint pain temporomandibular, temporomandibular joint pain, TEMPOROMANDIBULAR JOINT PAIN, pain in temporomandibular joint, Arthralgia of temporomandibular joint (disorder), arthralgia of TMJ, Arthralgia TMJ, arthralgia of temporomandibular joint (diagnosis), pain in temporomandibular joint (symptom), TMJ pain"
Coronavirus Infections,C0206750,"Coronavirus infections, Coronavirus Infection, Infection, Coronavirus, Coronavirus infection, coronavirus infection, Infections, Coronavirus, coronavirus, Coronavirus infection,unspc, [X]Coronavirus infection,unspc, Coronavirus infection, unspecified, [X]Coronavirus infection, unspecified, Coronavirus infection (diagnosis), Coronavirus infection (disorder), [X]Coronavirus infection, unspecified (disorder), infection; viral, coronavirus, Corona virus infection, corona infection virus, corona infections virus, CORONAVIRUS INFECT, INFECT CORONAVIRUS"
Hyperpnea,C0220854,"hyperpnea, HYPERPNEA, HYPERPNOEA, Hyperpnoea, hyperpnoea, Hyperpneic, Overbreathing, overbreathing, hyperpnea (physical finding), Polypnea, Polypnoea, Hyperpnea (finding) [Ambiguous], Hyperpnea (finding)"
Swallowing painful,C0221150,"Painful swallowing, painful swallowing, SWALLOWING PAINFUL, painful swallow, Odynophagia, ODYNOPHAGIA, odynophagia, Pain on swallowing, pain on swallowing, PAIN WITH SWALLOWING, pain swallowing, pain swallow, pain with swallowing, pains swallowing, pains swallow, swallowing pain, Pain;swallowing, Swallowing painful (finding), pain on swallowing (symptom)"
Lesion,C0221198,"lesion, LESION, Lesions, Lesion, NOS, lesions, GROSS LESION, Lesion -RETIRED-, Lesion (morphologic abnormality), Visible Lesion"
Stomach ache,C0221512,"ACHE STOMACH, Ache stomach, Ache;stomach, STOMACH ACHE, Stomach Ache, stomach ache, Belly ache, BELLY ACHE, Pain gastric, GASTRIC PAIN, Gastric Pain, Gastric pain, gastric pain, PAIN GASTRIC, gastric pains, Pain;gastric, Stomach pain, PAIN STOMACH, Pain stomach, Pain;stomach, pain; stomach, STOMACH PAIN, Stomach Pain, stomach; pain, stomach pain, Stomach pain/ache, Tummy ache, Sore tummy, stomach pain (diagnosis), Stomachache, Stomachaches, Stomach ache (finding), Gastralgia, gastralgia, gastrodynia"
Malaise,C0231218,"MALAISE, malaise, Malaise NOS, Ill, ill, Discomfort bodily, DISCOMFORT BODILY, Vague bodily discomfort, Feeling ill, ILL FEELING, ill feeling, feeling ill, FEELING BAD, feel bad, feel ill, feeling bad, Feeling;ill, Feels unwell, FEELING UNWELL, Feeling unwell, Feeling;unwell, feeling unwell, Vague ill health, Feels off-color, Feels off-colour, [D]Malaise, Does not feel right, Not feeling great, Feels poorly, feeling poorly, Generally unwell, Ill-defined experience, Ill defined experience, Not feeling well, not feeling well, General feeling of illness, general feeling of illness, feeling ill (symptom), Feels awful, Felt generally ill, Generally off-color, Generally off-colour, Feeling lifeless, feeling lifeless, Feeling miserable, General malaise, general malaise, MALAISE GENERALIZED, Malaise (finding) [Ambiguous], Generally unwell [Ambiguous], Undifferentiated illness: Vague ill health (finding), Undifferentiated illness: Vague ill health, [D]Malaise (context-dependent category), Feels unwell (finding), Generally unwell (finding), Malaise (finding), Malaise - symptom, [D]Malaise (situation), feeling poorly (malaise), feeling tired or poorly, malaise (diagnosis), feeling poorly (symptom), feeling tired or poorly (symptom), Vague bodily discomfort (finding)"
Myalgia,C0231528,"MYALGIA, myalgia, MYALGIAS, Myalgia NOS, Myalgias, myalgias, Aching muscles, MUSCLE ACHE, Muscle ache, ache muscles, ache muscle, aches muscles, aches muscle, muscle ache, muscle aches, Muscle aches, Muscle discomfort, MUSCLE DISCOMFORT, muscle discomfort, generalized myalgia, GENERALIZED MYALGIA, Muscle Pain, PAIN MUSCLE, pain muscle, Pain muscle, pain; muscle, MUSCLE PAIN, Muscle pain, muscle; pain, muscle pain, muscle pains, muscles pains, muscles pain, pain muscles, pains muscle, Pains, Muscle, Pain;muscle(s), Muscle pains, Pain, Muscle, Muscular pains, muscular pains, MUSCULAR PAIN, muscular pain, pain muscular, Muscular pain, Myalgic, myalgic, Muscle Soreness, MUSCLE SORENESS, Muscle soreness, muscle soreness, Soreness, Muscle, Muscle pain/fibrositis, Myalgia unspecified, Myodynia, myodynia, Myoneuralgia, Myosalgia, Muscle Sorenesses, Generalized muscle aches, generalized muscle aches, Generalised muscle aches, PAIN GENERALIZED MUSCLE, MUSCLE PAIN GENERALIZED, Myalgia (diagnosis), myalgia and myositis myalgia, Muscle pain (finding), Myalgia unspecified (finding), muscle aches (symptom), muscle aches, generalized (myalgias), generalized muscle aches (symptom)"
Respiratory rate,C0231832,"Rate, Respiratory, respiratory rate, Respiratory Rate, RESPIRATORY RATES, Respiratory Rates, Respiratory rate, NOS, Rates, Respiratory, respiratory rates, RESPIRATORY RATES AND RHYTHMS, Breathing rate, breathing rate, Breathing Rate, breathing rates, RR - Respiratory rate, Respiration Rate, Respiration rate, respiration rate, Rates, Respiration, Respiration Rates, rate of respiration, rates respiration, Rate of respiration, Rate, Respiration, BR - Breathing rate, Respiratory frequency, respiratory frequency, 21 RESPIRATORY RATES AND RHYTHMS, 210 RESPIRATORY RATES, RESPRATE, Rate of respiration (observable entity), Respiratory rate (observable entity), Breath rate, breath rate, RESP, respiration rate (physical finding), RR"
Tachypnea,C0231835,"TACHYPNEA, tachypnea, TACHYPNOEA, Tachypnoea, Tachypnea NOS, Tachypneas, tachypnoea, Rapid breathing, RAPID BREATHING, rapid breathing, Increased respiratory rate, RESPIRATORY RATE INCREASED, Respiratory rate increased, Respiratory Rate, Increased, increased respiratory rate, Increased Respiratory Rate, Increase in respiratory rate, Tachypneic, tachypneic, Tachypnoeic, [D]Tachypnoea, [D]Tachypnea, Rapid respiration, respiration; rapid, rapid respirations, Rapid respirations, Respiration rate increased, RESPIRATION RATE INCREASED, Rate Of Respiration, Increased, Increased respiratory rate or depth of breathing, Fast Breathing, Breathing rate increased, Respiratory rate high, Polypnea, [D]Tachypnea (context-dependent category), Tachypnea (finding), [D]Tachypnea (situation), [D]Tachypnoea (situation), rapid breathing (symptom), tachypnea (physical finding)"
Decrease in appetite,C0232462,"decrease in appetite, APPETITE DECREASE, APPETITE DECREASED, appetite decreased, appetite decrease, appetite decreasing, appetites decrease, decrease appetite, decreased appetite, Appetite decreased NOS, Decreased;appetite, Decreased appetite, Decreased food appetite, Food appetite, decreased, Poor appetite, appetite poor, POOR APPETITE, poor appetite, Poor;appetite, Reduced appetite, reduced appetite, appetite reducing, Inappetence, Decrease in appetite (finding), Hyporexia, decreased appetite (symptom)"
Abdominal discomfort,C0232487,"DISCOMFORT ABDOMINAL, Discomfort abdominal, Discomfort;abdominal, ABDOMINAL DISCOMFORT, abdominal discomfort, Abdo. discomfort, abdomen discomfort, ABDOMEN DISCOMFORT, Abdominal discomfort (finding)"
Ache,C0234238,"ACHE, ache, Ache, NOS, Ached, Aches, Aching, aches, aching, Ache NOS, Aching pain, pain aching, aching pain, pain aching (symptom), ACH, achs, Aching pain (finding), Aching sensation quality (qualifier value), Aching sensation quality, ach pain"
