SIgn and Symptom,UMLS CUI,Synonym
Disturbance of consciousness,C0234428,"CONSCIOUSNESS DISTURBANCE, Consciousness Disturbances, Disturbance of consciousness, NOS, Consciousness disturbance NOS, consciousness disturbance, Disturbances of consciousness, Alteration of consciousness, alteration of consciousness, Impaired consciousness, impaired consciousness, Altered consciousness, altered consciousness, Lowered consciousness, Reduced consciousness/confusion, Consciousness abnormal, Disturbance of consciousness (finding), Consciousness disturbance NOS (finding)"
Right upper quadrant pain,C0235299,"PAIN RIGHT UPPER QUADRANT, pain quadrant right upper, pain right upper quadrant, pain upper right quadrant, upper right quadrant pain, Pain right upper quadrant, Pain;right upper quadrant, RIGHT UPPER QUADRANT PAIN, right upper quadrant pain, right upper quaDrant pain, right upper quadrant abdominal pain, ABDOMINAL PAIN, RIGHT UPPER QUADRANT, Abdominal pain, right upper quadrant, abdominal pain right upper quadrant, RUQ abdominal pain, RUQ ABDOMINAL PAIN, ruq abdominal pain, Pain right upper quandrant, right upper quandrant pain, PAIN RIGHT UPPER QUANDRANT, [D] Right upper quadrant pain, RUQ pain, ruq pain, Hypochondrium pain right, ABDOMEN RUQ PAIN, [D] Right upper quadrant pain (context-dependent category), Right upper quadrant pain (finding), [D] Right upper quadrant pain (situation), Abdmnal pain rt upr quad, right upper quadrant abdominal pain (symptom), abdominal pain in the right upper belly (RUQ)"
Acute lower respiratory tract infection,C0238990,"infection; respiratory tract, acute, lower, infection; respiratory tract, lower (acute), respiratory tract; infection, lower (acute), acute lower respiratory tract infection, Acute (lower) respiratory (tract) infection NOS, chest infection, chest infections, infection chest, Acute lower resp tr infection, Unspecified acute lower respiratory infection, acute lower respiratory tract infection (diagnosis), acute lower respiratory infection, respiratory tract; infection, acute, lower respiratory tract, Acute lower respiratory tract infection (disorder)"
Facial rash,C0239521,"FACIAL RASH, facial rash, Eruption facial, Rash on face, rash on face, face rash, Rash face"
Petechiae of skin,C0241144,"SKIN PETECHIA, Skin Petechiae, Skin petechiae, petechial hemorrhages, petechial hemorrhage, Petechiae, petechiae, PETECHIA, petechia, Petechial rash, RASH PETECHIAL, PETECHIAL RASH, petechial rash, Petechial eruption, Petechiae of skin (disorder), petechial hemorrhages (___cm), petechial hemorrhages (physical finding), petechiae (diagnosis)"
"UPPER EXTREMITY NUMBNESS, LEFT",C0241539,
Pulmonary congestion,C0242073,"CONGESTION PULMONARY, congestion pulmonary, Congestion pulmonary, congestion; pulmonary, PULMONARY CONGESTION, pulmonary congestion, Pulmonary congestion, NOS, Lung congestion, congestion lung, Congestion - lung, congestion; lung, lung congestion, congestion lungs, chest congestion, Congestion;chest, CHEST CONGESTION, Chest congestion, congestion chest, Pulmonary congestion (disorder), Congestive lung, lung; congestive, congestive; lung"
Sputum production,C0242104,"production sputum, SPUTUM PRODUCTION, Sputum Production, sputum production"
Sore Throat,C0242429,"THROAT SORE, Throat sore, SORE THROAT, Sore throat, sore throat, Sore Throats, Sore throat, NOS, sore throats, Sore throat NOS, Throat, Sore, Pain in throat, Throat pain, PAIN THROAT, Pain throat, Pain;throat, pain; throat, throat pain, Pharyngeal pain, [D]Throat pain, Pain in the pharynx, PAIN PHARYNX, Pain pharynx, pain; pharynx, pharynx; pain, Sore throat symptom, sore symptom throat, sore throat; (symptom), sore throat (symptom), Sore throat symptom NOS, sore symptoms throat, [D]Throat discomfort, Throat discomfort, throat discomfort, Throat soreness, throat soreness, Pharynx discomfort, [D]Throat pain (context-dependent category), Pharyngeal pain (finding), Pain in throat (finding), Sore throat symptom (finding), Sore throat symptom NOS (finding), Throat soreness (& symptom), Faucitis, faucitis, throat pain (symptom), pain; throat (symptom), [D]Throat pain (situation), SORETHROAT, sore throat (diagnosis), Sore throat (finding), Throat soreness (& symptom) (finding), sore throat symptom (non-specific)"
Acute upper respiratory infection,C0264222,"acute upper respiratory infection, Acute upper respiratory infections, Acute upper respiratory infections of unspecified site, Acute URI, acute uri, Acute uri NOS, acute uri nos, acute uris, Acute URI NOS, URTI-Acute upper resp infecti, Acute upper resp infection, URTI - Acute upper respiratory infection, Acute upper respiratory infection, unspecified, Acute upper respiratory infection (disorder), respiratory tract; infection, acute, upper respiratory tract, Acute upper respiratory tract infection, infection; respiratory tract, acute, upper, infection; respiratory tract, upper (acute), respiratory tract; infection, upper (acute), acute upper respiratory infection (diagnosis), Acute upper respiratory infections (J00-J06), AURTI - Acute upper respiratory tract infection"
Acute bronchiolitis with bronchospasm,C0264367,"acute bronchiolitis with bronchospasm, Acute bronchiolitis+bron.spasm, Acute bronchiolitis with bronchospasm (disorder), bronchospasm; bronchiolitis, bronchiolitis; bronchospasm"
"Influenza due to Influenza virus, type B",C0276353,"Influenza caused by Influenza virus, type B (disorder), Influenza caused by Influenza virus, type B, Influenza caused by Influenza B virus (disorder), Influenza due to Influenza B virus, Influenza caused by Influenza B virus, Influenza due to Influenza virus, type B (disorder), influenza B (diagnosis), influenza B, influenza type B"
Generalized aches and pains,C0281856,"Generalised aches and pains, Generalized body aches, generalized body aches, Generalised body aches, Generalized body pains, body generalized pain, Generalized pain, Pain, generalized, Pain generalized, PAIN GENERALIZED, Pain;generalized, pain; generalized, Generalized Pain, generalized; pain, generalized pain, Generalized pain NOS, Generalised pain, Pain, generalised, Pain;generalised, generalised pain, [D]General aches and pains, General aches and pains, general aches pains, [D]Pain, generalised, [D]Pain, generalized, Generalized aching, aches generalized, generalised aching, generalized ache, Generalised aching, Ache;generalised, Ache;generalized, generalised aches, generalized aches, ACHE DIFFUSE, Pain general/multiple sites, General body pain, body general pain, Generalized aches and pains (finding), Generalised aches and pains (finding), [D]Pain, generalized (context-dependent category), [D]Pain, generalized (situation), [D]Pain, generalised (situation), generalized pain (symptom)"
Eruptions,C0302295,"ERUPTIONS, eruptions, Eruption, Eruption, NOS, eruption, Exanthem, Exanthema, Rash, 017-018 ERUPTIONS, Eruption (morphologic abnormality)"
Difficulty walking,C0311394,"WALKING DIFFICULTY, walking difficulty, Walking difficulty, Walking, Difficulty, walking; difficulty, DIFFICULTY WALKING, difficulty walking, Difficulty Walking, Difficulty in walking, Difficulty in walking NOS, difficulties walking, difficulties walk, Difficulty;walking, Walking difficulties, difficulty in walking, Gait difficulty, difficulties gait, Walking disability, Impaired walking, Impaired Walking, Walking Problems, problems walking, Problem;walking, problem with walking, Difficulty walking (finding) [Ambiguous], Difficulty walking (finding), Difficulty in walking NOS (finding), Difficulty in walking (finding), Walking disability (finding), difficult; walking, Ambulation Difficulty, Difficulties, Ambulation, Ambulation Difficulties, Difficulty, Ambulation, Difficulty Ambulation, Ambulatory Difficulty, Ambulatory Difficulties, Difficulties, Ambulatory, difficulty walking (symptom), difficulty in walking (diagnosis)"
"Pneumonia, organism unspecified",C0339951,"Pneumonia; organism unspecified, Pneumonia, unspecified organism, Pneumonia due to unspecified organism, Pneumonia, organism unspecif., pneumonia organism nos, Pneumonia, organism NOS, PNEUMONIA ORGANISM NOS, organism pneumonia, organisms pneumonia, pneumonia organism, Pneumonia due to unspecified organism (disorder)"
Other specified respiratory disorders,C0348713,"Respiratory system dis.OS, Other specified diseases of respiratory system, Other specfd resp disorders, [X]Other specfd resp disorders, [X]Other specified respiratory disorders, Other specified diseases of respiratory system (disorder), [X]Other specified respiratory disorders (disorder)"
Specimen Type - Sputum - coughed,C0370205,"coughed sputum, Sputum - coughed, cough sputum, sputum cough"
Influenza-like symptoms,C0392171,"INFLUENZA-LIKE SYMPTOMS, influenza like symptoms, Flu-like symptoms, FLU-LIKE SYMPTOMS, Flu-Like Symptoms, flu like symptoms, flu-like symptoms, FLU LIKE SYMPTOMS, Flu like symptoms, Influenza-Like Illness, flu-like symptoms (symptom), Influenza-like symptoms (finding)"
Exhaustion,C0392674,"EXHAUSTION, exhaustion, Exhaustion, NOS, Exhausted, exhausted, Washed out, Washed-out, Worn out, worn out, Exhaustion (finding)"
Hand joint pain,C0423665,"Joint pain-hand, hand; pain, joint, hand joint pain, hand; joint pain, hand joints pain, hands joint pain, hands joints pain, Pain in joint, hand, Pain in joints of hand NOS, Pain in joints of hand, Pain in joint involving hand, Arthralgia of the hand, arthralgia - hand, Arthralgia of hand, Arthralgia of hand (diagnosis), Pain in a joint, hand, Hand joint pain (finding)"
Refusing food,C0424424,"Will not eat, will not eat, Refuses to eat, refuse eat, refuse to eat, Refusing to feed, Food refusal, refusal; food, food refusal, food; refusal of, Patient refuses to eat, Refusal of food by patient, Refusing food (finding)"
Rigor - Temperature-associated observation,C0424790,"AGUE, shaking chill, CHILL SHAKING, SHAKING CHILLS, shaking chills, Rigor, RIGOR, rigor, RIGORS, Rigors, Rigor(s), Rigouring, Rigours, Rigoring, rigors, Sudden chill (rigor), Rigor - symptom, rigors symptoms, rigors (symptom), Having rigors, Having rigors (finding), Rigor (finding), Rigor - symptom (finding), Rigors: [having] or [symptom], reported whole body shaking chills, Rigors: [having] or [symptom] (finding), rigor was observed, shaking chill (physical finding)"
Gasping for breath,C0425449,"gasping for breath, breath gasping, breath gasps, breath gasp, gasping breath, Gasping breaths, Gasping, GASPING, gasping, Gasp, gasps, gasp, Gasping respiration, Gasping for Air, Gasping for breath (finding), breathing gasping"
Indrawing of ribs during respiration,C0425469,"Indrawing ribs during respirtn, Rib recession during respiration, Rib recession during respiratn, Rib retraction during respiration, Rib retractn during respiratn, Indrawing of ribs during respiration (finding)"
Rapid shallow breathing,C0425488,"rapid shallow breathing, Panting, panting, pant, Panting respiration, Excessive panting, Rapid shallow breathing (finding), Panting respiration (finding)"
Productive cough -green sputum,C0425504,Productive cough -green sputum (finding)
Productive cough -clear sputum,C0425505,"Productive cough -clear sputum (finding), coughing up clear sputum (symptom), coughing up clear sputum"
Productive cough-yellow sputum,C0425506,Productive cough-yellow sputum (finding)
No sputum,C0425518,No sputum (finding)
"Complaining of ""tired all the time""",C0439055,"C/O - ""tired all the time"", Tired all the time (& [C/O -]), TATT - Tired all the time, ""TATT"" - tired all the time, Tired all the time, TATT, C/O - ""tired all the time"" (context-dependent category), Tired all the time (finding), Complaining of ""tired all the time"" (finding)"
Respiratory distress,C0476273,"DISTRESS RESPIRATORY, Distress, Respiratory, Distress respiratory, distress; respiratory, RESPIRATORY DISTRESS, Respiratory Distress, respiratory distress, respiratory; distress, distressed respiratory, Difficulty breathing, Breathing difficulties, Distressed breathing, distressed breathing, [D]Respiratory distress, Respiratory difficulties, [D]Respiratory distress (context-dependent category), Respiratory distress (finding), [D]Respiratory distress (situation), Distressed respiration, distressed respirations, distressed respirations (diagnosis)"
"Respiratory failure, not elsewhere classified",C0494691,
Lymphadenopathy,C0497156,"LYMPHADENOPATHY, lymphadenopathy, Lymphadenopathy, NOS, Lymphadenopathies, Lymphadenopathy NOS, lymphadenopathies, Adenopathy, ADENOPATHY, adenopathy, Adenopathies, Enlargement of lymph nodes, Enlargement of lymph nodes, NOS, Enlargement of lymph node, lymph node enlargement, Lymph node enlarged, Enlarged lymph nodes, Swollen Gland, Swollen glands, Glands, Swollen, Swollen Glands, Swelling of lymph nodes, Swelling of lymph nodes, NOS, Swollen lymph nodes, Swelling of lymph node, [D]Lymphadenopathy, Enlarged glands, Swollen lymph glands, Lymphadenopathy - swelling, LA - Lymphadenopathy, LN - Lymphadenopathy, Lymphadenomegaly, [D]Lymphadenopathy (context-dependent category), Lymphadenopathy (disorder), Unspecified lymphadenopathy, Lymph node hyperplasia, [D]Lymphadenopathy (situation), lymphadenopathy (diagnosis), Lymphadenopathy (finding)"
Diffuse pain,C0520963,"PAIN DIFFUSE, diffuse pain, Diffuse pain (finding)"
Able to cough up sputum,C0558168,"Sputum loose, Able to cough up sputum (finding)"
Muscle weakness of limb,C0587246,"Limb muscle weakness, Limb weakness, limb weakness, limbs weakness, Weakness of limb, Weakness of limbs, Muscle weakness of limb (finding), Weakness in extremity, extremities weakness, extremity weakness, EXTREMITY WEAKNESS, Weakness of limb (finding), Loss of power in limb, Limb paresis, limb paresis, limb weakness (paresis), limb weakness (symptom)"
Generalized acute body pains,C0686728,"Generalised acute body pains, Generalized acute body aches, Generalised acute body aches, Generalized acute body pains (finding)"
Generalized chronic body pains,C0686729,"Generalised chronic body pains, Generalized chronic body aches, Generalised chronic body aches, Generalized chronic body pains (finding)"
Congestion,C0700148,"congestion, CONGESTION, Congestions, CONGESTIONS, Congestion, NOS, 361 CONGESTIONS, Congestion (morphologic abnormality)"
BODY ACHE,C0741585,"body ache, body pain, Pain;body, BODY PAIN, body pains"
Acute onset cough,C0742857,"Acute onset cough (finding), Acute cough, COUGH ACUTE"
LOWER EXTREMITY PAIN CHRONIC,C0745873,
PO INTAKE POOR,C0747719,
PULMONARY INFILTRATE PATCHY,C0748155,
Respiratory intubation and mechanical ventilation,C0810228,
Feels cold,C0812387,"cold feels, feels cold, cold feelings, cold feel, feel cold, Coldness, coldness, Cold to touch, cold to touch, cold touch, Chilliness, CHILLINESS, Coldness general, COLDNESS GENERAL, Feels cold (finding)"
Feeling tired,C0849970,"tired feeling, feeling tired, feel tired, feeling tire, Feeling;tired, Tired, tired, TIRED, Feeling tired (finding), Tired (finding), feeling tired (fatigue), feeling tired (symptom), feeling fatigued"
Dry cough,C0850149,"COUGH, DRY, cough dry, COUGH DRY, dry cough, coughing dry, coughs dry, Dry coughing, Unproductive cough, cough unproductive, unproductive cough, Non-productive cough, cough non productive, Cough;non-productive, non productive cough, non-productive cough, coughs non productive, Dry cough (finding), Non-productive cough (finding), Nonproductive cough, Cough, nonproductive, cough nonproductive, COUGH NONPRODUCTIVE, Cough nonproductive, nonproductive cough, dry cough (symptom)"
"Viral pneumonia, not elsewhere classified",C0869210,
Food aversion,C0877173,"aversion food, food aversion, aversions food"
Rhinorrhea,C1260880,"RHINORRHEA, rhinorrhea, RHINORRHOEA, Rhinorrhoea, rhinorrhoea, Runny Nose, nose runny, RUNNY NOSE, Runny nose, Runny;nose, runny nose, Nasal discharge, discharge nasal, Discharge;nasal, NASAL DISCHARGE, Nasal Discharge, nasal discharge, Increased nasal secretion, Nasal catarrh, catarrh; nasal, nasal catarrh, nasal; catarrh, Discharge from nose, discharge from nose, Snuffles, snuffles, Snuffling, Nasal discharge present, Nasal discharge (& present), Excessive noise from nasal passage, discharge nose, NOSE DISCHARGE, nose discharge, Nose running, running nose, nose running, nose runs, nose run, Nose run, Nose dripping, dripping nose, drips nose, nose drip, drip nasal, NASAL DRIP, dripping nasal, drips nasal, nasal drip, Nasal discharge present (context-dependent category), Nasal discharge (disorder), Nasal discharge present (finding), Nasal discharge (& present) (finding), Rhinorrhea (finding), Snuffles (finding), Snuffling (finding), nasopharyngeal; catarrh, catarrh; nasopharyngeal, Nasal discharge present (situation), nasal discharge (physical finding), nasal discharge (symptom), nasal discharge as symptom, nasal discharge rhinorrhea, rhinorrhea (physical finding)"
perversion; sense of smell and taste,C1404995,
"taste; loss, and smell, mixed",C1406294,"loss; smell, and taste, mixed, loss; taste, and smell, mixed, smell; loss, and taste, mixed"
Hypophagia,C1504561,"Decreased Oral Intake, Poor Oral Intake, Decreased PO Intake, PO INTAKE DECREASED, Oral intake reduced, Oral Intake Reduced"
Skin Papule,C1519353,"Skin papule, skin papule, Papule of skin, Papular rash, RASH PAPULAR, Rash, papular, Rash papular, PAPULAR RASH, papular rash, Papular eruption, papular eruption, Papule, Papular skin eruption, SKIN ERUPTION PAPULAR, Papular rash (morphologic abnormality), Papular eruption (disorder), Papular Lesion, skin: a bump [elevated, under .5cm] (papule) [as symptom], skin papule (symptom), Papule of skin (finding)"
Episodic respiratory distress,C1844945,"respiratory distress, episodic, Respiratory distress, episodic, Episodic difficulty breathing"
Loss of appetite (finding),C1971624,"Anorexia, Appetite absent, APPETITE ABSENT, Anorexic, Appetite impaired, APPETITE IMPAIRED, appetite; lack or loss, Appetite lost, APPETITE LOST, Loss of appetite, LOSS OF APPETITE, loss of appetite, Appetite loss, Loss (of);appetite, loss; appetite, appetite; loss, No appetite, NO APPETITE, Lack Of Appetite, appetite; lack of, Lack of appetite, lack of; appetite, [D]Appetite loss, Loss of appetite - symptom, Off food, [D]Appetite loss (context-dependent category), Loss of appetite - symptom (finding), [D]Appetite loss (situation), Lack of appetite (finding)"
influenza A,C2062441,"Influenza A, influenza A (diagnosis), influenza type A"
compression arthralgia of multiple sites,C2105260,compression arthralgia of multiple sites (diagnosis)
Loose stool,C2129214,"STOOL LOOSE, LOOSE STOOL, Loose Stool, loose stool, Loose stools, Stools loose, loose stools, Stool(s);loose, Passage of loose stools, Passage of watery stools, Watery stool, Watery Stool, watery stool, STOOLS WATERY, Stools watery, watery stools, Watery;stool, Liquid stool, liquid stool, Liquid Stool, Liquid stools, Loose bowel movement, [D] Stools loose, Fluid stool, fluid stool, LS - Loose stools, Runny stool, runny stool, runny stools, Loose bowel motions, Loose motion, Loose motions, Already mapped above AAHA ID #: 758, Loose bowels, loose bowels, Loose bowel, [D] Stools loose (context-dependent category), Liquid stool (finding), Loose stool (finding), Passage of watery stools (finding), [D] Stools loose (situation), Loose feces, Loose faeces, Liquid feces, Liquid faeces, loose/mushy stools, watery stools (symptom), loose or mushy stools, loose or mushy stools (symptom)"
Pain in left knee,C2142181,"left knee pain, Pain in left knee (finding), pain of left knee joint (symptom), pain of left knee joint"
recurrent chills,C2169797,"recurrent chills (symptom), chills which come and go, reported recurrent chills"
"airway protection by coughing effortful, tremorous",C2215675,"airway protection by coughing effortful, tremorous (physical finding)"
Sense of smell impaired,C2364082,"Impaired Sense Of Smell, Decreased sense of smell, decreased sense of smell, Defect or impairment of sense of smell, Hyposmia, HYPOSMIA, hyposmia, Reduced sense of smell, Loss of smell, Difficult disting diff smells, Difficulty in distinguishing different smells, Sense of smell impaired (finding), Diminished sense of smell, Decreased smell sensation, decreased sense of smell (symptom)"
Discomfort,C2364135,"DISCOMFORT, discomfort, Discomfort, NOS, discomforts, Discomfort NOS, sensory discomfort, Discomfort, [dup] NOS, Discomfort (finding), Discomfort, NOS (finding), body discomfort"
Fever of other and unknown origin,C2830447,
SARS-associated coronavirus as cause of disease classified elsewhere,C2833819,"coronavirus sars-associated as cause of disease classified elsewhere, SARS-associated coronavirus as the cause of diseases classified elsewhere, SARS-associated coronavirus causing diseases classd elswhr, SARS-associated coronavirus as cause of disease classified elsewhere (diagnosis)"
Other coronavirus as the cause of diseases classified elsewhere,C2833820,Oth coronavirus as the cause of diseases classd elswhr
"Upper respiratory disease, acute",C2887379,
Acute respiratory distress syndrome in adult or child,C2887484,
Contact with and (suspected) exposure to other viral communicable diseases,C2910658,Contact w and exposure to oth viral communicable diseases
Weakness,C3714552,"WEAKNESS, weakness, weaknesses, Lassitude, lassitude, Debility, DEBILITY, debility, Debility NOS, Debilities, asthenic, Enfeebled, Weakness - general, General weakness, general weakness, Weakness generalised, generalised weakness, GENERALIZED WEAKNESS, WEAKNESS GENERALIZED, WEAKNESS, GENERALIZED, Weakness generalized, Weakness;generalised, Weakness;generalized, Weakness, generalized, generalized weakness, Generalized weakness, Strength loss of, loss of strength, of strength loss, STRENGTH LOSS OF, loss strength, strength loss, STRENGTH LOSS, weak, Weak, Debility, unspecified, unspecified debility, [D]Debility, unspecified, Feeling weak, weak feeling, feeling weak, feel weak, feels weak, Feeling;weak, General debility, Feelings of weakness, feelings of weakness, feeling weakness, STRENGTH DECREASED, [D]Debility, unspecified (context-dependent category), ([D]Debility, unspecified) or ([D] Self neglect), [D]Debility, unspecified (situation), unspecified debility (diagnosis), feelings of weakness (symptom), ([D]Debility, unspecified) or ([D] Self neglect) (situation)"
Episodic tachypnea,C3806218,"Tachypnea, episodic, Hyperpnea, episodic"
Respiratory insufficiency due to muscle weakness,C3806467,"Decreased lung function due to weak breathing muscles, Respiratory muscle weakness, Respiratory distress due to muscle weakness, Respiratory failure due to muscle weakness, Decreased respiratory function due to muscle weakness"
Breathing dysregulation,C3808046,"Abnormal breathing, Difficult to breathe, Breathing difficulty"
Ground Glass Opacity,C3827002,GGO
Respiratory insufficiency requiring mechanical ventilation (in 1 family),C4013968,
Abnormality of the sense of smell,C4021655,"Smell defect, Abnormality of olfaction, Abnormal sense of smell"
Lacks Energy,C4048330,"Lack of energy, Lack Energy, I have a lack of energy, Had a Lack of Energy"
Neonatal respiratory distress,C4281993,"distress respiratory neonatal, Respiratory distress neonatal, Respiratory distress, neonatal, neonatal respiratory distress, Newborn respiratory distress, Infantile respiratory distress"
No Energy at All,C4288600,No energy at all
bronchopneumonia due to viruses other than influenza viruses,C4290184,
acute and subacute bronchitis (with) bronchospasm,C4290186,
acute and subacute bronchitis (with) tracheitis,C4290187,
"acute and subacute bronchitis (with) tracheobronchitis, acute",C4290188,
acute and subacute fibrinous bronchitis,C4290189,
acute and subacute membranous bronchitis,C4290190,
acute and subacute purulent bronchitis,C4290191,
acute and subacute septic bronchitis,C4290192,
Body temperature elevation,C4716254,
Elevated serum lactate dehydrogenase (LDH),C4746879,